o2duty,airflow
26.0,0.20297756418585777
26.048096,0.026540597900748253
26.096193,0.0
26.144289,0.0
26.192385,0.0
26.24048,0.0
26.288578,0.0
26.336674,0.0
26.38477,0.0
26.432865,0.0
26.480963,0.0
26.529058,0.0
26.577154,0.0
26.62525,0.0
26.673347,0.0
26.721443,0.0
26.769539,0.0
26.817635,0.0
26.865732,0.0
26.913828,0.0
26.961924,0.0
27.01002,0.0
27.058117,0.0
27.106213,0.0
27.154308,0.0
27.202404,0.0
27.250502,0.0
27.298597,0.0
27.346693,0.0
27.394789,0.0
27.442886,0.0
27.490982,0.0
27.539078,0.0
27.587173,0.0
27.635271,0.0
27.683367,0.0
27.731462,0.0
27.779558,0.0
27.827656,0.0
27.875751,0.0
27.923847,0.0
27.971943,0.0
28.02004,0.0
28.068136,0.0
28.116232,0.0
28.164328,0.0
28.212425,0.0
28.26052,0.0
28.308617,0.0
28.356712,0.0
28.40481,0.0
28.452906,0.0
28.501001,0.0
28.549097,0.0
28.597195,0.0
28.64529,0.0
28.693386,0.1912396401166916
28.741482,0.5397563800215721
28.78958,0.9067784994840622
28.837675,1.291412627324462
28.88577,1.695567974820733
28.933867,2.1180498879402876
28.981964,2.558772452175617
29.03006,3.0196476727724075
29.078156,3.4998604096472263
29.126251,3.99914663285017
29.174349,4.518602974712849
29.222445,5.057859234511852
29.27054,5.618108436465263
29.318636,6.197365932166576
29.366734,6.798439659178257
29.41483,7.418846245855093
29.462925,8.060270920395851
29.51102,8.72335396707058
29.559118,9.406854398548603
29.607214,10.111654177308083
29.65531,10.837200097739697
29.703405,11.58373337239027
29.751503,12.351996265351772
29.799599,13.14153615385294
29.847694,13.952167704701424
29.89579,14.784631319344044
29.943888,15.638086944818497
29.991983,16.51340164244175
30.04008,17.40998588502407
30.088175,18.32747645676136
30.136272,19.266527146100998
30.184368,20.22740989923477
30.232464,21.209536120295525
30.28056,22.212084382772446
30.328657,23.235784843564034
30.376753,24.280449375510216
